gender,subCategory,articleType,baseColour,usage,style,weather_condition,trend_score
2,1,16,2,0,0,1,0.3
4,7,56,2,0,0,2,0.3
2,7,45,10,0,0,1,0.3
4,1,9,12,0,0,0,0.3
4,7,49,3,0,0,2,0.3
4,2,12,30,0,0,2,0.3
4,4,29,28,0,0,0,0.3
4,1,52,13,0,0,2,0.3
4,7,38,19,0,0,1,0.3
4,1,50,18,0,0,2,0.3
2,4,28,3,0,0,2,0.3
2,7,54,26,0,0,0,0.3
4,7,38,28,2,2,2,0.3
4,7,45,11,0,0,2,0.3
2,3,14,10,0,0,2,0.3
4,7,21,28,1,1,1,0.3
4,1,39,1,0,0,1,0.3
4,7,54,28,5,4,1,0.3
2,1,52,22,2,2,1,0.3
4,4,29,22,0,0,2,0.3
4,7,54,17,0,0,2,0.3
4,7,38,25,0,0,2,0.3
4,7,55,19,0,0,2,0.3
1,7,54,40,0,0,2,0.3
4,3,8,35,0,0,0,0.3
4,7,49,10,0,0,1,0.3
2,4,24,5,5,4,2,0.3
4,7,54,7,0,0,2,0.3
4,5,36,17,1,1,1,0.3
4,4,29,29,0,0,2,0.3
4,7,38,40,2,2,2,0.3
4,3,7,11,0,0,0,0.3
2,7,54,40,0,0,0,0.3
1,7,49,39,0,0,2,0.3
2,7,54,12,0,0,2,0.3
4,7,49,26,0,0,2,0.3
4,1,22,1,0,0,1,0.3
4,2,12,38,0,0,2,0.3
4,1,22,1,1,1,1,0.3
4,7,46,29,0,0,1,0.3
4,7,45,27,0,0,1,0.3
2,4,28,11,0,0,2,0.3
4,7,20,6,1,1,2,0.3
2,7,46,29,0,0,1,0.3
4,7,55,1,0,0,1,0.3
4,4,29,30,0,0,0,0.3
4,7,21,2,1,1,2,0.3
4,2,12,19,0,0,1,0.3
2,1,39,40,0,0,1,0.3
0,1,16,11,0,0,2,0.3
2,4,25,30,0,0,2,0.3
4,4,24,17,0,0,0,0.3
4,1,39,29,5,4,2,0.3
1,7,49,29,0,0,2,0.3
4,7,54,28,0,0,1,0.3
2,1,39,0,0,0,2,0.3
4,3,6,14,0,0,0,0.3
4,7,20,32,1,1,2,0.3
4,5,36,3,1,1,2,0.3
4,7,21,7,1,1,1,0.3
2,7,54,11,0,0,1,0.3
2,7,54,29,5,4,1,0.3
4,7,38,30,0,0,2,0.3
1,7,49,22,0,0,2,0.3
4,1,42,11,0,0,1,0.3
4,1,41,28,0,0,2,0.3
2,3,14,22,0,0,2,0.3
4,1,9,30,0,0,0,0.3
4,4,28,19,0,0,2,0.3
4,4,0,2,0,0,0,0.3
4,3,6,2,0,0,2,0.3
4,7,55,2,0,0,1,0.3
0,7,54,41,0,0,2,0.3
4,1,22,10,1,1,1,0.3
4,7,54,10,0,0,1,0.3
4,1,9,1,0,0,1,0.3
2,1,52,11,2,2,0,0.3
2,7,46,17,0,0,1,0.3
4,4,25,29,0,0,0,0.3
4,4,1,2,0,0,0,0.3
4,7,55,10,0,0,2,0.3
4,7,55,30,1,1,1,0.3
1,2,12,40,0,0,2,0.3
4,3,6,11,0,0,0,0.3
2,3,7,10,0,0,2,0.3
4,4,28,29,0,0,2,0.3
4,0,19,16,1,1,2,0.3
4,7,54,24,0,0,2,0.3
0,7,54,22,0,0,2,0.3
4,7,49,2,2,2,2,0.3
2,7,38,32,1,1,2,0.3
4,5,36,28,1,1,1,0.3
4,7,54,2,5,4,1,0.3
2,7,56,1,0,0,1,0.3
4,3,6,7,0,0,0,0.3
4,4,1,40,0,0,2,0.3
2,7,38,3,0,0,1,0.3
4,4,28,1,0,0,2,0.3
4,7,46,10,0,0,1,0.3
2,1,50,12,5,4,1,0.3
4,4,24,11,0,0,0,0.3
4,7,54,14,0,0,2,0.3
4,1,39,10,0,0,2,0.3
2,3,53,11,0,0,2,0.3
4,1,50,1,0,0,1,0.3
2,1,50,1,5,4,1,0.3
